source_id,sector,year,dimension,score,passage_excerpt,coder_id,confidence,review_status,notes
SRC_ELE_1978_PER,Electronics,1978,persistence,0,Synthetic passage for workflow demonstration only.,demo,low,accepted,Synthetic data; no substantive interpretation.
SRC_ELE_1978_SPE,Electronics,1978,specificity,0,Synthetic passage for workflow demonstration only.,demo,low,accepted,Synthetic data; no substantive interpretation.
SRC_ELE_1978_NET,Electronics,1978,network_breadth,1,Synthetic passage for workflow demonstration only.,demo,medium,accepted,Synthetic data; no substantive interpretation.
SRC_ELE_1978_ALL,Electronics,1978,allocation,2,Synthetic passage for workflow demonstration only.,demo,low,accepted,Synthetic data; no substantive interpretation.
SRC_ELE_1979_PER,Electronics,1979,persistence,2,Synthetic passage for workflow demonstration only.,demo,medium,accepted,Synthetic data; no substantive interpretation.
SRC_ELE_1979_SPE,Electronics,1979,specificity,2,Synthetic passage for workflow demonstration only.,demo,medium,needs_review,Synthetic data; no substantive interpretation.
SRC_ELE_1979_NET,Electronics,1979,network_breadth,1,Synthetic passage for workflow demonstration only.,demo,high,accepted,Synthetic data; no substantive interpretation.
SRC_ELE_1979_ALL,Electronics,1979,allocation,2,Synthetic passage for workflow demonstration only.,demo,low,accepted,Synthetic data; no substantive interpretation.
SRC_ELE_1980_PER,Electronics,1980,persistence,1,Synthetic passage for workflow demonstration only.,demo,high,accepted,Synthetic data; no substantive interpretation.
SRC_ELE_1980_SPE,Electronics,1980,specificity,2,Synthetic passage for workflow demonstration only.,demo,high,accepted,Synthetic data; no substantive interpretation.
SRC_ELE_1980_NET,Electronics,1980,network_breadth,1,Synthetic passage for workflow demonstration only.,demo,medium,accepted,Synthetic data; no substantive interpretation.
SRC_ELE_1980_ALL,Electronics,1980,allocation,2,Synthetic passage for workflow demonstration only.,demo,medium,accepted,Synthetic data; no substantive interpretation.
SRC_ELE_1981_PER,Electronics,1981,persistence,1,Synthetic passage for workflow demonstration only.,demo,medium,accepted,Synthetic data; no substantive interpretation.
SRC_ELE_1981_SPE,Electronics,1981,specificity,2,Synthetic passage for workflow demonstration only.,demo,high,accepted,Synthetic data; no substantive interpretation.
SRC_ELE_1981_NET,Electronics,1981,network_breadth,2,Synthetic passage for workflow demonstration only.,demo,high,needs_review,Synthetic data; no substantive interpretation.
SRC_ELE_1981_ALL,Electronics,1981,allocation,2,Synthetic passage for workflow demonstration only.,demo,medium,accepted,Synthetic data; no substantive interpretation.
SRC_ELE_1982_PER,Electronics,1982,persistence,2,Synthetic passage for workflow demonstration only.,demo,medium,accepted,Synthetic data; no substantive interpretation.
SRC_ELE_1982_SPE,Electronics,1982,specificity,2,Synthetic passage for workflow demonstration only.,demo,high,accepted,Synthetic data; no substantive interpretation.
SRC_ELE_1982_NET,Electronics,1982,network_breadth,1,Synthetic passage for workflow demonstration only.,demo,high,accepted,Synthetic data; no substantive interpretation.
SRC_ELE_1982_ALL,Electronics,1982,allocation,2,Synthetic passage for workflow demonstration only.,demo,medium,accepted,Synthetic data; no substantive interpretation.
SRC_ELE_1983_PER,Electronics,1983,persistence,2,Synthetic passage for workflow demonstration only.,demo,high,accepted,Synthetic data; no substantive interpretation.
SRC_ELE_1983_SPE,Electronics,1983,specificity,2,Synthetic passage for workflow demonstration only.,demo,high,accepted,Synthetic data; no substantive interpretation.
SRC_ELE_1983_NET,Electronics,1983,network_breadth,2,Synthetic passage for workflow demonstration only.,demo,medium,accepted,Synthetic data; no substantive interpretation.
SRC_ELE_1983_ALL,Electronics,1983,allocation,2,Synthetic passage for workflow demonstration only.,demo,medium,needs_review,Synthetic data; no substantive interpretation.
SRC_ELE_1984_PER,Electronics,1984,persistence,1,Synthetic passage for workflow demonstration only.,demo,medium,accepted,Synthetic data; no substantive interpretation.
SRC_ELE_1984_SPE,Electronics,1984,specificity,2,Synthetic passage for workflow demonstration only.,demo,high,accepted,Synthetic data; no substantive interpretation.
SRC_ELE_1984_NET,Electronics,1984,network_breadth,2,Synthetic passage for workflow demonstration only.,demo,high,accepted,Synthetic data; no substantive interpretation.
SRC_ELE_1984_ALL,Electronics,1984,allocation,2,Synthetic passage for workflow demonstration only.,demo,medium,accepted,Synthetic data; no substantive interpretation.
SRC_ELE_1985_PER,Electronics,1985,persistence,2,Synthetic passage for workflow demonstration only.,demo,high,accepted,Synthetic data; no substantive interpretation.
SRC_ELE_1985_SPE,Electronics,1985,specificity,2,Synthetic passage for workflow demonstration only.,demo,high,accepted,Synthetic data; no substantive interpretation.
SRC_ELE_1985_NET,Electronics,1985,network_breadth,2,Synthetic passage for workflow demonstration only.,demo,medium,accepted,Synthetic data; no substantive interpretation.
SRC_ELE_1985_ALL,Electronics,1985,allocation,2,Synthetic passage for workflow demonstration only.,demo,high,accepted,Synthetic data; no substantive interpretation.
SRC_ELE_1986_PER,Electronics,1986,persistence,1,Synthetic passage for workflow demonstration only.,demo,medium,needs_review,Synthetic data; no substantive interpretation.
SRC_ELE_1986_SPE,Electronics,1986,specificity,2,Synthetic passage for workflow demonstration only.,demo,high,accepted,Synthetic data; no substantive interpretation.
SRC_ELE_1986_NET,Electronics,1986,network_breadth,2,Synthetic passage for workflow demonstration only.,demo,high,accepted,Synthetic data; no substantive interpretation.
SRC_ELE_1986_ALL,Electronics,1986,allocation,1,Synthetic passage for workflow demonstration only.,demo,medium,accepted,Synthetic data; no substantive interpretation.
SRC_AUT_1978_PER,Automobiles,1978,persistence,1,Synthetic passage for workflow demonstration only.,demo,medium,accepted,Synthetic data; no substantive interpretation.
SRC_AUT_1978_SPE,Automobiles,1978,specificity,1,Synthetic passage for workflow demonstration only.,demo,medium,needs_review,Synthetic data; no substantive interpretation.
SRC_AUT_1978_NET,Automobiles,1978,network_breadth,1,Synthetic passage for workflow demonstration only.,demo,high,accepted,Synthetic data; no substantive interpretation.
SRC_AUT_1978_ALL,Automobiles,1978,allocation,1,Synthetic passage for workflow demonstration only.,demo,high,accepted,Synthetic data; no substantive interpretation.
