filing_year,sector,patent_count,data_source
1990,automobiles,843,assignee_harmonized_CN
1990,textiles,443,assignee_harmonized_CN
1991,automobiles,1119,assignee_harmonized_CN
1991,textiles,544,assignee_harmonized_CN
1992,automobiles,1336,assignee_harmonized_CN
1992,textiles,616,assignee_harmonized_CN
1993,automobiles,1391,assignee_harmonized_CN
1993,textiles,596,assignee_harmonized_CN
1994,automobiles,1321,assignee_harmonized_CN
1994,textiles,531,assignee_harmonized_CN
1995,automobiles,1347,assignee_harmonized_CN
1995,textiles,489,assignee_harmonized_CN
1996,automobiles,1516,assignee_harmonized_CN
1996,textiles,507,assignee_harmonized_CN
1997,automobiles,1363,assignee_harmonized_CN
1997,textiles,590,assignee_harmonized_CN
1998,automobiles,1605,assignee_harmonized_CN
1998,textiles,558,assignee_harmonized_CN
1999,automobiles,2082,assignee_harmonized_CN
1999,textiles,758,assignee_harmonized_CN
2000,automobiles,2996,assignee_harmonized_CN
2000,textiles,856,assignee_harmonized_CN
2001,automobiles,3278,assignee_harmonized_CN
2001,textiles,1239,assignee_harmonized_CN
2002,automobiles,3569,assignee_harmonized_CN
2002,textiles,1730,assignee_harmonized_CN
2003,automobiles,4811,assignee_harmonized_CN
2003,textiles,2240,assignee_harmonized_CN
2004,automobiles,4940,assignee_harmonized_CN
2004,textiles,2375,assignee_harmonized_CN
2005,automobiles,5488,assignee_harmonized_CN
2005,textiles,3060,assignee_harmonized_CN
2006,automobiles,6659,assignee_harmonized_CN
2006,textiles,3841,assignee_harmonized_CN
2007,automobiles,7435,assignee_harmonized_CN
2007,textiles,4388,assignee_harmonized_CN
2008,automobiles,9103,assignee_harmonized_CN
2008,textiles,4738,assignee_harmonized_CN
2009,automobiles,1942,assignee_harmonized_CN
2009,textiles,1089,assignee_harmonized_CN
2010,automobiles,638,assignee_harmonized_CN
2010,textiles,281,assignee_harmonized_CN
