iso,country,region,transition_year,baseline_year,five_nondem_years,first_eligible_transition,capacity_pre5,capacity_posterior_sd_pre5,administration_pre5,capacity_world_percentile,capacity_above_world_median,log_gdp0_ddcg,log_gdp0_mpd,pre_growth10_ddcg,pre_growth10_mpd,growth10_ddcg,growth20_ddcg,growth10_mpd,growth20_mpd,mortality_change10,negative_growth_years10_mpd,main_eligible,main_exclusion_reason,cap_z,admin_z,t_center
ALB,Albania,ECA,1992,1991,True,True,0.3779599994421005,0.3856526970863342,-1.0468,63.30935251798561,1.0,6.533777236938477,7.9868790944290815,-4.688448905944824,-2.4582691543189483,6.2227678298950195,,5.859018851444731,5.852411763781076,-11.599998474121094,2.0,True,,0.7529665232342536,-0.3802039328657143,7
ALB,Albania,ECA,1997,1996,False,False,-0.1455399975180626,0.35640220046043397,-0.246,36.875,0.0,6.898364067077637,8.285433960323838,-0.969996452331543,0.24424174300010648,4.759478569030762,,6.1665831732716825,4.890934875157766,-11.200000762939453,1.0,False,no five consecutive observed pre-transition non-democratic years,-0.0018173625540480996,0.3445578224184732,12
ARG,Argentina,LAC,1973,1972,True,True,-0.07856980049982668,0.3759815037250519,-1.389,56.58914728682171,1.0,8.834556579589844,9.406729185981574,2.5597095489501953,2.963196526304408,-0.46367645263671875,-0.01148223876953125,-0.5228847003163395,0.039728184912863895,-24.89999771118164,6.0,True,,0.09474047093392193,-0.6899110665548365,-12
ARG,Argentina,LAC,1983,1982,True,False,0.01909940056502819,0.36212257742881776,-2.443,55.24475524475524,1.0,8.788188934326172,9.35444071594994,-0.46367645263671875,-0.5228847003163395,0.44071197509765625,-0.09854316711425781,0.6023410701420673,0.23043962710395327,-10.10000228881836,4.0,False,later eligible transition,0.2355602217068716,-1.6438307594488595,-2
ARM,Armenia,ECA,1991,1990,True,True,,,,,,6.678819179534912,9.176680170483548,,0.3987870184223574,-2.4680423736572266,2.558310031890869,-6.319057620147319,-0.7448203002832887,-15.700000762939453,3.0,False,incomplete pre-transition capacity,,,6
ARM,Armenia,ECA,1998,1997,False,False,0.3687360003590584,0.4034432351589203,-0.18239999999999998,58.64197530864198,1.0,6.252849102020264,8.48385235573048,,-7.051622295309502,10.08509635925293,,6.973900756592251,4.061014604363873,-11.600000381469727,0.0,False,no five consecutive observed pre-transition non-democratic years,0.7396673333377233,0.40211882096501955,13
AZE,Azerbaijan,ECA,1992,1991,True,True,,,,,,7.108942031860352,8.898247630766129,,-0.23076445745136454,-5.375051498413086,,-4.866829071264789,3.965181552470618,-18.299999237060547,4.0,False,incomplete pre-transition capacity,,,7
BDI,Burundi,AFR,2003,2002,True,True,-0.5143600046634674,0.3902763664722443,-0.597,16.049382716049383,0.0,4.732268810272217,6.6029759106303105,-3.255453109741211,-4.255334687943568,,,-0.14049433096791297,-0.13790765609644762,,3.0,False,missing ten-year DDCG GDP endpoint,-0.5335831691751736,0.02688627383611829,18
BEN,Benin,AFR,1991,1990,True,True,-0.687279999256134,0.392676568031311,-0.8436,15.384615384615385,0.0,5.689627170562744,7.501634457883413,-0.15154361724853516,0.685591089848332,1.5666818618774414,1.2136173248291016,0.5266716514772884,0.11912607791492391,-17.79999542236328,3.0,True,,-0.7828997426365427,-0.19629835260379266,6
BFA,Burkina Faso,AFR,1977,1976,True,True,-0.7609000027179718,0.4039547801017761,-0.4404,20.149253731343283,0.0,5.027317523956299,6.946013991099227,1.6727447509765625,-0.40552468307199163,1.2674617767333984,1.1072635650634766,2.982135245041224,0.9474706891330698,-24.5,5.0,True,,-0.8890452872541917,0.16861665704978432,-8
BGD,Bangladesh,SAS,1991,1990,True,True,-0.6189999938011169,0.35708560347557067,-1.1148,19.58041958041958,0.0,5.635409355163574,6.913737350659685,0.9893274307250977,1.3951346430207057,2.607545852661133,3.445310592651367,3.896409081650365,4.746124256990081,-35.30000305175781,0.0,True,,-0.6844534233657786,-0.4417471388588772,6
BGD,Bangladesh,SAS,2009,2008,False,False,-0.12388800233602523,0.2879609227180481,-0.9959999999999999,27.77777777777778,0.0,6.231574535369873,7.749775146130462,4.03045654296875,5.432866390034334,,,5.583367838324094,,,0.0,False,no five consecutive observed pre-transition non-democratic years; missing ten-year DDCG GDP endpoint,0.029400549868998913,-0.33422753780023384,24
BGR,Bulgaria,ECA,1991,1990,True,True,1.6899999856948853,0.3524394750595093,0.055799999999999995,88.81118881118881,1.0,7.420900821685791,9.09627541568821,2.556281089782715,-0.7677837150195721,-0.5613327026367188,2.1138739585876465,-0.5900413953334649,2.4920295828385353,-0.5,4.0,True,,2.6446697608349723,0.6177010513704809,6
BLR,Belarus,ECA,1991,1990,True,True,,,,,,7.251187801361084,9.347228624038305,,1.8955090464542756,-1.0201787948608398,3.3183741569519043,-2.2999312460622967,2.0191680632658215,-2.1000003814697266,5.0,False,incomplete pre-transition capacity,,,6
