filing_year,automobiles,textiles,auto_to_textile_ratio
1990,931,686,1.3571428571428572
1991,1189,760,1.5644736842105262
1992,1440,940,1.5319148936170213
1993,1658,1075,1.542325581395349
1994,1810,1235,1.465587044534413
1995,2188,1410,1.55177304964539
1996,2471,1440,1.7159722222222222
1997,2385,1629,1.4640883977900552
1998,2677,1650,1.6224242424242423
1999,3125,1889,1.6543144520910535
2000,4334,2278,1.9025460930640914
2001,5273,2900,1.8182758620689654
2002,6165,3648,1.689967105263158
2003,8577,4392,1.9528688524590163
2004,10476,4616,2.2694974003466206
2005,11855,5325,2.2262910798122064
2006,13398,6157,2.176059769368199
2007,14601,6959,2.0981462853858313
2008,19175,8597,2.2304292194951727
2009,22237,10416,2.134888632872504
2010,26855,12041,2.230296487002741
