iso,country,transition_year,growth10_ddcg,growth10_mpd,log_gdp0_ddcg,log_gdp0_mpd,growth_difference
ALB,Albania,1992,6.2227678298950195,5.859018851444731,6.533777236938477,7.9868790944290815,-0.363748978450289
ARG,Argentina,1973,-0.46367645263671875,-0.5228847003163395,8.834556579589844,9.406729185981574,-0.05920824767962074
BEN,Benin,1991,1.5666818618774414,0.5266716514772884,5.689627170562744,7.501634457883413,-1.040010210400153
BFA,Burkina Faso,1977,1.2674617767333984,2.982135245041224,5.027317523956299,6.946013991099227,1.7146734683078257
BGD,Bangladesh,1991,2.607545852661133,3.896409081650365,5.635409355163574,6.913737350659685,1.2888632289892321
BGR,Bulgaria,1991,-0.5613327026367188,-0.5900413953334649,7.420900821685791,9.09627541568821,-0.02870869269674614
BOL,Bolivia,1982,-1.5906667709350586,-1.1746086178919946,6.9572272300720215,8.308938252595778,0.41605815304306404
BRA,Brazil,1985,1.056528091430664,1.4698280874417868,8.056733131408691,8.914357274485015,0.41329999601112277
CAF,Central African Rep.,1993,0.16201496124267578,-0.3846557696903119,5.504217624664307,6.872328471263293,-0.5466707309329877
CHL,Chile,1990,4.506778717041016,3.9467362422474395,8.010087013244629,9.210840247017833,-0.5600424747935762
CIV,Côte d'Ivoire,2000,-1.2911701202392578,0.370969837057169,6.501244068145752,7.790471665672217,1.6621399572964268
COG,"Congo, Republic of",1992,-1.1472892761230469,0.9714984068923727,7.0618205070495605,8.259089166064498,2.1187876830154195
COM,Comoros,1990,-1.0308027267456055,0.7077189212237123,5.99850606918335,7.010311867307229,1.7385216479693177
CPV,Cape Verde,1991,4.272260665893555,6.008719581672128,6.690188407897949,7.583247524303362,1.7364589157785737
DJI,Djibouti,1999,1.083970069885254,2.212122799413798,6.659045219421387,7.588103742504318,1.1281527295285443
DOM,Dominican Republic,1978,1.4332103729248047,0.7802428350585089,7.43330192565918,8.184792654165078,-0.6529675378662958
ECU,Ecuador,1979,-0.023179054260253906,0.06787177818472045,7.182284355163574,8.750524669117937,0.09105083244497436
ESP,Spain,1978,1.3173103332519531,1.991044552620309,9.076255798339844,9.498163344917659,0.673734219368356
ETH,Ethiopia,1995,2.10233211517334,0.5285136309593153,4.715407371520996,6.595440195678556,-1.5738184842140246
