filing_year,sector,patent_count,data_source
1990,automobiles,931,filing_office_CN
1990,textiles,686,filing_office_CN
1991,automobiles,1189,filing_office_CN
1991,textiles,760,filing_office_CN
1992,automobiles,1440,filing_office_CN
1992,textiles,940,filing_office_CN
1993,automobiles,1658,filing_office_CN
1993,textiles,1075,filing_office_CN
1994,automobiles,1810,filing_office_CN
1994,textiles,1235,filing_office_CN
1995,automobiles,2188,filing_office_CN
1995,textiles,1410,filing_office_CN
1996,automobiles,2471,filing_office_CN
1996,textiles,1440,filing_office_CN
1997,automobiles,2385,filing_office_CN
1997,textiles,1629,filing_office_CN
1998,automobiles,2677,filing_office_CN
1998,textiles,1650,filing_office_CN
1999,automobiles,3125,filing_office_CN
1999,textiles,1889,filing_office_CN
2000,automobiles,4334,filing_office_CN
2000,textiles,2278,filing_office_CN
2001,automobiles,5273,filing_office_CN
2001,textiles,2900,filing_office_CN
2002,automobiles,6165,filing_office_CN
2002,textiles,3648,filing_office_CN
2003,automobiles,8577,filing_office_CN
2003,textiles,4392,filing_office_CN
2004,automobiles,10476,filing_office_CN
2004,textiles,4616,filing_office_CN
2005,automobiles,11855,filing_office_CN
2005,textiles,5325,filing_office_CN
2006,automobiles,13398,filing_office_CN
2006,textiles,6157,filing_office_CN
2007,automobiles,14601,filing_office_CN
2007,textiles,6959,filing_office_CN
2008,automobiles,19175,filing_office_CN
2008,textiles,8597,filing_office_CN
2009,automobiles,22237,filing_office_CN
2009,textiles,10416,filing_office_CN
2010,automobiles,26855,filing_office_CN
2010,textiles,12041,filing_office_CN
