model,formula,term,estimate,se,ci_low,ci_high,p,n,countries,covariance,r2,df_resid
transition_raw,growth10_ddcg ~ cap_z,cap_z,0.5515556101666736,0.3632206599734101,-0.1763548586358793,1.2794660789692265,0.13461269312596014,57,57,HC3,0.06166959637168201,55.0
transition_income_year,growth10_ddcg ~ cap_z + log_gdp0_ddcg + t_center,cap_z,0.6272228537618916,0.5343788993539774,-0.4446054835997191,1.6990511911235022,0.24574605466284694,57,57,HC3,0.07256941383409043,53.0
transition_prior_growth,growth10_ddcg ~ cap_z + log_gdp0_ddcg + t_center + pre_growth10_ddcg,cap_z,0.5369930477949502,0.6576846454589637,-0.7884832608725881,1.8624693564624883,0.41861858529813467,49,49,HC3,0.07070773503089511,44.0
transition_region,growth10_ddcg ~ cap_z + log_gdp0_ddcg + t_center + C(region),cap_z,0.5247922318583653,0.607741412678811,-0.6978257898989593,1.74741025361569,0.3922411856868198,57,57,HC3,0.22951178816387263,47.0
transition_admin,growth10_ddcg ~ admin_z + log_gdp0_ddcg + t_center,admin_z,0.20606408529906478,0.3149166062010321,-0.4255786364477497,0.8377068070458793,0.5157191478161598,57,57,HC3,0.040028009528457975,53.0
transition_without_korea_taiwan,growth10_ddcg ~ cap_z + log_gdp0_ddcg + t_center,cap_z,0.4310091652196314,0.48455366790233073,-0.5413189043575027,1.4033372347967656,0.37783255395961124,56,56,HC3,0.03935648115386403,52.0
transition_mpd_same_sample,growth10_mpd ~ cap_z + log_gdp0_mpd + t_center,cap_z,1.1972676356861804,0.6044524134379575,-0.0162212194601008,2.410756490832462,0.05302516043073771,55,55,HC3,0.22560899576800442,51.0
transition_mpd20_same_sample,growth20_mpd ~ cap_z + log_gdp0_mpd + t_center,cap_z,1.3359257273894312,0.4591016172624808,0.41424077164752215,2.25761068313134,0.005346791153958295,55,55,HC3,0.31124557904810335,51.0
transition_mpd_extended,growth10_mpd ~ cap_z + log_gdp0_mpd + t_center,cap_z,0.9730324063232525,0.4823338804090123,0.00945971014804492,1.93660510249846,0.04785791945495266,68,68,HC3,0.2557047670244128,64.0
transition_mpd20_extended,growth20_mpd ~ cap_z + log_gdp0_mpd + t_center,cap_z,1.1547341430291926,0.4073010457304091,0.33972663303212614,1.9697416530262593,0.006264999832742255,63,63,HC3,0.2907949616107688,59.0
transition_ddcg20,growth20_ddcg ~ cap_z + log_gdp0_ddcg + t_center,cap_z,0.6335327433848,0.38593302297666526,-0.1535828463845227,1.4206483331541229,0.11078906807348123,35,35,HC3,0.1663073553107257,31.0
transition_repeated,growth10_ddcg ~ cap_z + log_gdp0_ddcg + t_center,cap_z,0.6055956110447867,0.46878379734396347,-0.33349118013076984,1.5446824022203431,0.2017173151189431,64,57,country-clustered,0.07787922550768223,60.0
transition_mpd_negative_years,negative_growth_years10_mpd ~ cap_z + log_gdp0_mpd + t_center,cap_z,-0.5588407579309909,0.364921750090941,-1.2878557595931739,0.17017424373119217,0.13059923924476194,68,68,HC3,0.1795353601561933,64.0
transition_common_income_year,growth10_ddcg ~ cap_z + log_gdp0_ddcg + t_center,cap_z,0.6114695249398877,0.5974397475120963,-0.5918358951763424,1.8147749450561177,0.31155019582925,49,49,HC3,0.05904117781593465,45.0
