iso,observed,fitted,residual
ALB,2.0,2.5020101766548937,-0.5020101766548937
ARG,6.0,3.081997117950556,2.918002882049444
BDI,3.0,3.240145571788584,-0.2401455717885841
BEN,3.0,3.5129762287318913,-0.5129762287318913
BFA,5.0,4.133365407788746,0.8666345922112537
BGD,0.0,3.6065121603667465,-3.6065121603667465
BGR,4.0,1.1945716417039178,2.805428358296082
BOL,5.0,3.6520148733471913,1.3479851266528087
BRA,3.0,2.5109279380949485,0.4890720619050515
CAF,5.0,3.7962961892321707,1.2037038107678293
CHL,1.0,2.009386324503878,-1.009386324503878
CIV,4.0,2.6131629730096027,1.3868370269903973
COG,4.0,2.993344290163713,1.006655709836287
COM,3.0,4.023696516145033,-1.0236965161450327
CPV,0.0,2.74799681532703,-2.74799681532703
CYP,2.0,3.4193064563884286,-1.4193064563884286
DJI,4.0,2.5358741855020512,1.4641258144979488
DOM,4.0,3.6382396656091154,0.3617603343908846
ECU,3.0,3.214575286314006,-0.2145752863140058
ESP,1.0,2.265230107033466,-1.265230107033466
ETH,3.0,3.4850781054790585,-0.4850781054790585
GHA,5.0,3.8223387029144638,1.1776612970855362
GIN,2.0,2.7644855044044627,-0.7644855044044627
GNB,4.0,3.825429245670073,0.17457075432992708
GRC,3.0,2.490430086812033,0.509569913187967
GTM,1.0,4.07276568468098,-3.07276568468098
HND,4.0,3.343807530401552,0.656192469598448
HRV,1.0,1.3530100150732356,-0.3530100150732356
HTI,4.0,4.000897966948513,-0.0008979669485134067
HUN,3.0,1.502642642822688,1.497357357177312
IDN,1.0,2.544316291384647,-1.5443162913846469
KEN,2.0,2.7611287280890022,-0.7611287280890022
KGZ,3.0,2.675865724653332,0.32413427534666805
KHM,1.0,3.660285501568395,-2.660285501568395
KOR,0.0,1.503081215789932,-1.503081215789932
LBN,2.0,2.215642771235071,-0.2156427712350708
LBR,4.0,3.65211109142902,0.34788890857098
LSO,4.0,3.2877118827106018,0.7122881172893982
MDG,3.0,3.7110001204838223,-0.7110001204838223
MEX,1.0,1.7843235548193372,-0.7843235548193372
MLI,5.0,3.65171918815261,1.3482808118473901
MNG,0.0,2.512861566971939,-2.512861566971939
MOZ,7.0,3.632294763358371,3.367705236641629
MRT,3.0,2.4129112484059343,0.5870887515940657
MWI,5.0,3.4350848443861666,1.5649151556138334
NER,7.0,3.2322030447585495,3.7677969552414505
NGA,7.0,3.3944006081091516,3.6055993918908484
NIC,4.0,3.1269961420181276,0.8730038579818724
NPL,0.0,3.5008472876633143,-3.5008472876633143
PAK,1.0,3.542950036217611,-2.542950036217611
PAN,1.0,2.618166497990709,-1.618166497990709
PER,5.0,3.012418495943298,1.9875815040567022
PHL,2.0,3.266251362710856,-1.266251362710856
POL,2.0,1.7952650122494251,0.20473498775057486
PRT,2.0,2.3370136276191444,-0.33701362761914444
PRY,4.0,2.8283582472048776,1.1716417527951224
ROU,5.0,2.484363199413304,2.515636800586696
SDN,5.0,4.262566955189081,0.7374330448109188
SEN,3.0,2.786027723659383,0.2139722763406171
SLE,4.0,4.143053185704527,-0.1430531857045274
SLV,5.0,3.4195421427926016,1.5804578572073984
THA,0.0,3.50331220614714,-3.50331220614714
TWN,1.0,1.0017853029311088,-0.0017853029311087898
UGA,4.0,4.482788239884834,-0.482788239884834
URY,1.0,2.5763936367592857,-1.5763936367592857
ZAF,0.0,2.013503512230283,-2.013503512230283
ZMB,3.0,2.8795403528676387,0.12045964713236135
ZWE,6.0,3.999399275634576,2.000600724365424
