iso,country,region,transition_year,baseline_year,five_nondem_years,first_eligible_transition,capacity_pre5,capacity_posterior_sd_pre5,administration_pre5,capacity_world_percentile,capacity_above_world_median,log_gdp0_ddcg,log_gdp0_mpd,pre_growth10_ddcg,pre_growth10_mpd,growth10_ddcg,growth20_ddcg,growth10_mpd,growth20_mpd,mortality_change10,negative_growth_years10_mpd,main_eligible,main_exclusion_reason,cap_z,admin_z,t_center,log_gdp0_wdi,pre_growth10_wdi,growth10_wdi,growth20_wdi
ALB,Albania,ECA,1992,1991,True,True,0.3779599994421005,0.3856526970863342,-1.0468,63.30935251798561,1.0,6.533777236938477,7.9868790944290815,-4.688448905944824,-2.4582691543189483,6.2227678298950195,,5.859018851444731,5.852411763781076,-11.599998474121094,2.0,True,,0.7529665232342536,-0.3802039328657143,7,7.105756820744654,-4.3858691415814555,5.85406064808442,5.5216946076151
ARG,Argentina,LAC,1973,1972,True,True,-0.0785698004998266,0.3759815037250519,-1.389,56.58914728682171,1.0,8.834556579589844,9.406729185981574,2.5597095489501953,2.963196526304408,-0.4636764526367187,-0.0114822387695312,-0.5228847003163395,0.0397281849128638,-24.89999771118164,6.0,True,,0.0947404709339219,-0.6899110665548365,-12,9.171359197672666,2.513348005990057,-0.26551477738102847,-0.17161187991184157
BDI,Burundi,AFR,2003,2002,True,True,-0.5143600046634674,0.3902763664722443,-0.597,16.049382716049383,0.0,4.732268810272217,6.6029759106303105,-3.255453109741211,-4.255334687943568,,,-0.1404943309679129,-0.1379076560964476,,3.0,False,missing ten-year DDCG GDP endpoint,-0.5335831691751736,0.0268862738361182,18,5.58712933161196,-3.464897649006158,-0.4124747149497576,-0.06371880282582953
BEN,Benin,AFR,1991,1990,True,True,-0.687279999256134,0.392676568031311,-0.8436,15.384615384615383,0.0,5.689627170562744,7.501634457883413,-0.1515436172485351,0.685591089848332,1.5666818618774414,1.2136173248291016,0.5266716514772884,0.1191260779149239,-17.79999542236328,3.0,True,,-0.7828997426365427,-0.1962983526037926,6,6.619352502329364,0.21537669188913533,1.3898969733482591,1.0697249376042128
BFA,Burkina Faso,AFR,1977,1976,True,True,-0.7609000027179718,0.4039547801017761,-0.4404,20.149253731343283,0.0,5.027317523956299,6.946013991099227,1.6727447509765625,-0.4055246830719916,1.2674617767333984,1.1072635650634766,2.982135245041224,0.9474706891330698,-24.5,5.0,True,,-0.8890452872541917,0.1686166570497843,-8,5.744239567602185,1.8690860057377634,0.9928720378549372,1.031670942146956
BGD,Bangladesh,SAS,1991,1990,True,True,-0.6189999938011169,0.3570856034755706,-1.1148,19.58041958041958,0.0,5.635409355163574,6.913737350659685,0.9893274307250975,1.3951346430207057,2.607545852661133,3.445310592651367,3.896409081650365,4.746124256990081,-35.30000305175781,0.0,True,,-0.6844534233657786,-0.4417471388588772,6,6.160035371561115,1.5558853458825617,2.7058768654931598,3.4486752065709725
BGR,Bulgaria,ECA,1991,1990,True,True,1.6899999856948853,0.3524394750595093,0.0557999999999999,88.81118881118881,1.0,7.420900821685791,9.09627541568821,2.556281089782715,-0.7677837150195721,-0.5613327026367188,2.1138739585876465,-0.5900413953334649,2.4920295828385353,-0.5,4.0,True,,2.6446697608349723,0.6177010513704809,6,8.395138444372126,2.5562813167092813,-1.7416528092248207,1.8672149681482964
BOL,Bolivia,LAC,1982,1981,True,True,-0.7773800015449523,0.4108049571514129,-2.281,14.084507042253522,0.0,6.9572272300720215,8.308938252595778,0.9990644454956056,1.4471260032995126,-1.5906667709350586,-0.2105998992919922,-1.1746086178919946,0.129456902309899,-26.199996948242188,5.0,True,,-0.9128061996221848,-1.497213121641619,-3,7.608496432689344,1.0964113797261632,-1.5181363010118787,-0.00347460479219297
BRA,Brazil,LAC,1985,1984,True,True,0.3370799958705902,0.3544037938117981,-1.502,63.63636363636363,1.0,8.056733131408691,8.914357274485015,1.186385154724121,1.478071249386641,1.056528091430664,1.058969497680664,1.4698280874417868,1.9335321049910623,-21.099998474121097,3.0,True,,0.6940256099087236,-0.7921813941611217,0,8.672785665297273,1.5283283572712492,0.9550377806912991,1.0859081970787265
CAF,Central African Rep.,AFR,1993,1992,True,True,-0.9161400079727172,0.388873940706253,-0.631,8.75912408759124,0.0,5.504217624664307,6.872328471263293,-2.7467966079711914,-2.2439290723146765,0.1620149612426757,,-0.3846557696903119,-0.2615605329458148,-4.600006103515625,5.0,True,,-1.1128707983838313,-0.0038853291604631,8,6.118425268095969,-2.27052940907555,-0.029555227144744123,0.9912558684689232
CHL,Chile,LAC,1990,1989,True,True,0.6800999999046325,0.3305884003639221,-0.0057999999999999,75.52447552447552,1.0,8.010087013244629,9.210840247017831,2.498621940612793,1.6596431476918203,4.506778717041016,3.51107120513916,3.946736242247439,2.987417953794296,-7.40000057220459,1.0,True,,1.1885928936744108,0.5619501471178512,5,8.554992471821757,1.790682245249382,4.521848633431684,3.805925715738212
CIV,Côte d'Ivoire,AFR,2000,1999,True,True,0.0032607999630272,0.3514304161071777,0.2824,39.50617283950617,0.0,6.501244068145752,7.790471665672217,-0.4022502899169922,0.3128422716442181,-1.2911701202392578,,0.370969837057169,2.1322527609280018,-18.5,4.0,True,,0.2127240792479502,0.8227847348712264,15,7.479223634834587,-1.0271091595623894,-1.8354394358294268,0.8358891885865827
COG,"Congo, Republic of",AFR,1992,1991,True,True,-0.3171999990940094,0.3615056395530701,-1.4214,33.093525179856115,0.0,7.0618205070495605,8.259089166064498,0.5042362213134766,0.6347959877572329,-1.1472892761230469,,0.9714984068923728,2.096860864739307,9.400001525878906,4.0,True,,-0.2493172742565858,-0.7192345941162847,7,7.763245578429376,0.6190215055008963,-1.346476733519344,-0.09664139939740579
COM,Comoros,AFR,1990,1989,True,True,-1.1297600269317627,0.4144552528858184,-0.4699999999999999,3.4965034965034967,0.0,5.99850606918335,7.010311867307229,,0.7981710135560327,-1.0308027267456057,-0.8728718757629395,0.7077189212237123,1.3632167021981534,-17.900001525878906,3.0,True,,-1.420868790606071,0.1418272614998194,5,7.089274476453057,,-0.11716715917470033,0.21172995283484486
CPV,Cape Verde,AFR,1991,1990,True,True,0.2365400016307831,0.3992397964000702,2.0004,58.04195804195804,1.0,6.690188407897949,7.583247524303362,,3.7390726770045206,4.272260665893555,4.452159404754639,6.008719581672128,5.609357588987667,-16.5,0.0,True,,0.5490667408158747,2.377655733345545,6,6.7275762930536676,3.6152678299629137,8.918128347250374,6.708230453837993
DOM,Dominican Republic,LAC,1978,1977,True,True,-0.5721799969673157,0.3591955065727233,-1.074,24.81203007518797,0.0,7.43330192565918,8.184792654165078,5.52546501159668,4.835924733076311,1.433210372924805,1.808009147644043,0.7802428350585089,2.243703704096429,-18.599998474121097,4.0,True,,-0.6169482097114953,-0.4048212152629795,-7,7.847802631771372,5.445941543028487,1.3479326956522986,1.786407056993702
ECU,Ecuador,LAC,1979,1978,True,True,-0.2610799998044967,0.3610680818557739,-1.5408,39.55223880597015,0.0,7.182284355163574,8.750524669117937,4.159188270568848,3.9256170327225526,-0.0231790542602539,0.2514791488647461,0.0678717781847204,0.7304329592992342,-26.0,3.0,True,,-0.1684032888121915,-0.8272972234631027,-6,8.246935064098702,4.177016664554838,0.258935319542406,0.5410995130720053
ESP,Spain,INL,1978,1977,True,True,0.719979989528656,0.3629552066326141,0.4022,75.93984962406014,1.0,9.076255798339844,9.49816334491766,4.0325164794921875,4.854115551091471,1.3173103332519531,1.889796257019043,1.991044552620309,2.750068874778213,-9.200000762939451,1.0,True,,1.2460919838528357,0.931209383076828,-7,9.597891703763745,3.993664445916494,1.3421959418753815,1.8453012761744603
ETH,Ethiopia,AFR,1995,1994,True,True,-0.5176400005817413,0.3433063983917236,-0.2556,18.571428571428573,0.0,4.715407371520996,6.595440195678556,-2.070789337158203,-2.6731771737284493,2.10233211517334,,0.5285136309593153,3.551875361959538,-34.80000305175781,3.0,True,,-0.5383122772533785,0.3358693698076738,10,5.422302960474391,-2.39341487411318,1.6839858151064568,4.495585788513221
GHA,Ghana,AFR,1970,1969,True,True,-0.3363000035285949,0.4462065279483795,-0.8042,42.62295081967213,0.0,5.612730503082275,7.655390644826152,,0.0284495213223134,-1.0585832595825195,-1.1029958724975586,-0.9063363192042306,-1.1293490101984505,-17.29999542236328,5.0,True,,-0.2768557186680904,-0.1606394950136365,-15,6.983237051850899,,-1.6570299798689447,-1.1918475038306164
GNB,Guinea-Bissau,AFR,1994,1993,True,True,-1.0781999826431274,0.3604423999786377,-0.3954,5.839416058394161,0.0,5.230264663696289,7.154882533456362,1.9944429397583008,1.2579496930670064,-2.02211856842041,,-0.7996714059574828,0.3675295905862086,-19.100006103515625,4.0,True,,-1.3465293621331529,0.2093437786629067,9,6.341875037910797,1.9666313841914551,0.19587196886233116,0.5516223342414461
GRC,Greece,INL,1975,1974,True,True,0.5929599881172181,0.3589819371700287,-0.6442,75.57251908396947,1.0,8.972521781921387,9.368710707947624,5.6961822509765625,5.73734276258854,1.488847732543945,1.0607099533081057,2.0994657650121695,1.7795330425041822,-12.5,3.0,True,,1.0629541599848895,-0.0158319515003123,-10,9.439334630614145,6.166821000469849,1.4888469662802883,1.0797505929058904
GTM,Guatemala,LAC,1966,1965,True,True,-0.6902799963951111,0.4176107764244079,-2.564,21.238938053097343,0.0,6.9864020347595215,8.268731832117737,,2.072449652464101,2.8339147567749023,1.3010334968566897,3.326186673052227,1.526098465585548,-31.29999542236328,1.0,True,,-0.7872251476242398,-1.753341464230811,-19,7.650867023819745,,2.8724513964765386,1.3062148843648913
