source_row,institution_raw,test_scope_raw,venues_raw,document_date,source_id
1,北京市汽车研究所,《汽车加速行驶车外噪声限值及测量方法》（GB1495-2002）第二阶段限值,交通部公路交通实验场,2005-01-26,S03
2,交通部汽车运输行业能源利用监测中心,《汽车加速行驶车外噪声限值及测量方法》（GB1495-2002）第二阶段限值,交通部公路交通实验场,2005-01-26,S03
3,国家环境保护总局机动车排污监控中心(中国环科院汽车排放检测实验室),《汽车加速行驶车外噪声限值及测量方法》（GB1495-2002）第二阶段限值,交通部公路交通实验场,2005-01-26,S03
4,天津汽车检测中心(国家轿车质量监督检验中心),《汽车加速行驶车外噪声限值及测量方法》（GB1495-2002）第二阶段限值,交通部公路交通实验场、东风汽车实验场（襄樊）、海南汽车试验研究所,2005-01-26,S03
5,长春汽车检测中心（国家汽车质量监督检测中心-长春）,《汽车加速行驶车外噪声限值及测量方法》（GB1495-2002）第二阶段限值,长春农安汽车试验场、交通部公路交通实验场、海南汽车试验研究所,2005-01-26,S03
6,机械工业拖拉机农用运输车产品质量检测中心,《汽车加速行驶车外噪声限值及测量方法》（GB1495-2002）第二阶段限值,长春农安汽车试验场,2005-01-26,S03
7,国家机动车产品质量监督检验中心（上海）,《汽车加速行驶车外噪声限值及测量方法》（GB1495-2002）第二阶段限值,交通部公路交通实验场、东风汽车实验场（襄樊）,2005-01-26,S03
8,南京汽车质量监督检验鉴定试验所,《汽车加速行驶车外噪声限值及测量方法》（GB1495-2002）第二阶段限值,交通部公路交通实验场、东风汽车实验场（襄樊）、海南汽车试验研究所,2005-01-26,S03
9,济南汽车检测中心,《汽车加速行驶车外噪声限值及测量方法》（GB1495-2002）第二阶段限值,交通部公路交通实验场,2005-01-26,S03
10,襄樊达安汽车检测中心（国家汽车质量监督检验中心-襄樊）,《汽车加速行驶车外噪声限值及测量方法》（GB1495-2002）第二阶段限值,东风汽车实验场（襄樊）,2005-01-26,S03
11,国家客车质量监督检验中心,《汽车加速行驶车外噪声限值及测量方法》（GB1495-2002）第二阶段限值,交通部公路交通实验场、东风汽车实验场（襄樊）、海南汽车试验研究所,2005-01-26,S03
12,重庆汽车检测中心（国家重型汽车质量监督检验中心）,《汽车加速行驶车外噪声限值及测量方法》（GB1495-2002）第二阶段限值,交通部公路交通实验场、东风汽车实验场（襄樊）、海南汽车试验研究所,2005-01-26,S03
